ident;noi;wpela15;couple;chom_mens;nbmois_sal;cal0;age;duree_ss_emploi;etudes_sup;bac_plusdeux;bac;cap_brevet;pas_diplome;nbmois_cho;ass;sexe;moins_30
13002704;01;772.0124755;0;1296.3333333;9;111111444111;26;1;0;1;0;0;0;3;;0;1
13002706;01;791.6822136;0;496.00416667;0;444444444444;43;4;0;0;0;1;0;12;;1;0
13002721;01;638.27757537;0;1843.9166667;0;444444444444;61;2;0;0;0;0;1;12;0;1;0
13002721;02;638.27757537;0;926.25;0;444444444444;60;0;0;0;1;0;0;12;;0;0
13002735;01;579.21988561;1;1485.4166667;0;444444444444;57;2;0;0;0;1;0;12;;1;0
13002736;02;526.6158458;1;884.55555556;3;144444444411;24;1;0;0;1;0;0;9;0;0;1
13002774;02;1470.6017146;0;425.89022007;1.783404163;111144444111;46;0;0;0;0;1;0;5;;0;0
13002901;01;361.47278319;0;1313.875;3.6058079893;144441114444;45;2;0;0;0;0;1;8;;0;0
13002902;01;3262.8224184;1;40;1.3305405645;444411144441;29;1;0;0;1;0;0;8;;0;1
13002912;03;1048.2045595;1;534.11666667;0;444777777777;62;4;0;0;0;0;1;3;;0;0
13002953;01;458.78594591;0;2160.875;1;422244444414;42;0;1;0;0;0;0;8;;0;0
13002983;01;1239.5327671;0;1100.1666667;6;111111444444;21;2;0;0;0;1;0;6;;1;1
13002987;01;794.62865298;0;770;0;999944444444;41;2;0;0;0;0;1;8;;0;0
13003002;01;557.3953089;0;1235.625;4;411444411444;32;1;0;0;0;0;1;8;0;1;0
13003026;02;1429.1476468;1;496.00416667;0;444444444444;29;3;0;0;1;0;0;12;;1;1
13003056;01;442.70124252;0;1095.5714286;3.7229300066;444444411111;37;1;0;1;0;0;0;7;;0;0
13003057;01;833.29311244;0;483.3;0;888888844444;50;7;0;0;0;1;0;5;1;1;0
13003065;01;594.30894058;1;461.45909091;0.7268454605;444144444444;40;1;0;0;0;1;0;11;;1;0
13003069;01;677.29558205;0;1833;5;144478891111;31;2;1;0;0;0;0;3;;0;0
13003072;03;1073.7144662;0;1055.5;8;111111144441;26;0;0;0;1;0;0;4;;0;1
13003077;05;487.20639387;0;505.33333333;3.5102157546;111444444111;27;1;1;0;0;0;0;6;;0;1
13003106;01;869.9946704;0;496.00416667;0;444444444444;45;0;1;0;0;0;0;12;;0;0
13003175;01;596.37189839;0;425.87916667;2.3889446769;911144444444;21;1;0;0;0;0;1;8;;1;1
13003198;01;866.11557142;1;500.23888889;3;444444444111;59;0;0;0;0;0;1;9;;1;0
13003212;01;544.815292;0;1951.6666667;7;111111144433;45;3;0;1;0;0;0;3;;1;0
13003224;01;767.37800546;0;747.66666667;4.299706731;111111111444;27;0;1;0;0;0;0;3;;1;1
13003297;01;397.41252133;1;653.125;4;414444111444;37;1;0;0;0;0;1;8;;0;0
13003317;01;577.67398386;0;914.4;2;144414444444;46;1;0;0;0;1;0;10;0;1;0
13003422;01;1017.2148218;0;496.00416667;0;444444444444;48;3;0;0;0;0;1;12;;0;0
13003423;01;526.06455581;0;629.41;2.9978069288;111411411444;53;1;0;0;0;0;1;5;;0;0
13003506;01;1026.8113343;0;1245.75;4;444444441111;25;0;0;0;1;0;0;8;;1;1
13003541;03;704.16785226;0;309.66666667;1;944444444471;43;1;0;0;0;0;1;9;0;0;0
13003558;01;687.07055002;0;496.00416667;0;444444444444;31;6;0;0;0;0;1;12;;0;0
13003609;01;1084.1817084;0;464.36818182;0.7087604431;444441444444;27;2;0;0;1;0;0;11;;0;1
13003625;01;410.59312376;1;362.77777778;2.573239616;444444444111;24;1;0;0;1;0;0;9;;0;1
13003641;01;1092.3947936;0;780;8.232988865;111111111114;29;0;0;0;0;1;0;1;;0;1
13003655;01;842.62159419;0;496.00416667;0;444444444444;46;2;0;0;0;0;1;12;;1;0
13003664;01;600.10820913;0;375.92083333;1.2048066341;444444444444;20;13;0;0;0;1;0;12;;0;1
13003706;01;454.01073517;1;411.0875;0.8663584517;444444444444;50;5;0;0;0;0;1;12;;0;0
13003711;01;502.70575362;1;496.00416667;0;444444444444;58;3;0;0;1;0;0;12;;0;0
13003852;01;590.34455796;0;222.42083333;2.7756195724;444444444444;51;3;0;1;0;0;0;12;;1;0
13003858;01;764.64781729;0;228.90714286;5;444441114411;34;1;0;1;0;0;0;7;;0;0
13003879;01;719.91738594;0;311;5;111114444444;35;3;0;0;1;0;0;7;;0;0
13003881;01;824.4085581;0;522;0.963673069;444448111111;29;1;0;0;0;1;0;5;;0;1
13003897;02;691.56656485;1;496.00416667;0;444444444444;49;2;1;0;0;0;0;12;;1;0
13003910;01;549.4043616;0;2190.8333333;3.0133083722;444444444444;59;2;1;0;0;0;0;12;;0;0
13004003;02;924.1873755;0;822.25;4;114444444411;48;1;1;0;0;0;0;8;0;0;0
13004018;01;1379.8295931;1;77.444444444;3;444444444111;27;7;0;0;0;0;1;9;;1;1
13004056;01;778.12188152;0;480.17083333;0.1584591999;444444444444;32;13;0;0;0;1;0;12;;0;0
13004061;02;754.52811288;0;5278.5555556;3;444444444111;47;0;0;1;0;0;0;9;;1;0
13004066;01;415.45470491;0;1378.75;3.2794164851;444444444444;47;2;0;0;0;0;1;12;0;1;0
13004066;02;415.45470491;0;289.98;7;111111444441;49;2;0;1;0;0;0;5;;0;0
13004086;02;133.27543472;1;903.83333333;6;444444111111;49;1;0;0;0;1;0;6;;1;0
13004142;01;861.24551596;0;476.83333333;0;444444444444;57;2;0;0;0;1;0;12;0;0;0
13004185;01;682.43049757;0;1102.6666667;7.7885157303;111111111444;42;0;0;0;0;1;0;3;;0;0
13004237;01;451.62944125;1;450.215;2;444444444411;60;1;1;0;0;0;0;10;;1;0
13004340;01;211.18471391;0;1357.1818182;1;444444444441;61;1;0;0;1;0;0;11;0;1;0
13004353;01;1053.441293;0;689.66666667;6;444444111111;38;1;0;1;0;0;0;6;;1;0
13004409;01;1282.8499261;0;483.3;1;122222244444;60;2;1;0;0;0;0;5;;1;0
13004441;01;1260.8458371;1;505.07857143;0;444444422222;47;2;0;0;0;0;1;7;;1;0
13004488;01;365.24622137;1;739.33333333;6;444444111111;44;1;0;0;0;0;1;6;0;0;0
