ALCT;ident;noi;wpela16;couple;chom_mens;nbmois_sal;cal0;anref;anleg;age;duree_ss_emploi;pas_diplome;nbmois_cho;ass;sexe;moins_30
;14000845;02;683.47439019;0;1129.1666667;6;444111111444;2014;2015;56;2;1;6;;0;0
;14000847;01;598.20004291;1;1055.4;7;111444441111;2014;2015;35;1;0;5;;1;0
;14000858;02;683.83310001;1;927.5;10;441111111111;2014;2015;44;1;1;2;;0;0
;14000882;01;352.07193191;1;538.5;10;111144111111;2014;2015;35;1;0;2;;0;0
;14000886;01;1069.6824025;1;816.2;3.2196581197;334444444444;2014;2015;49;3;0;10;;0;0
;14000894;01;368.87921462;2;511.08333333;1.9991452991;444444444444;2014;2015;45;3;0;12;;1;0
1;14000895;01;1123.2961691;1;5145;5.952991453;441111112222;2014;2015;34;1;0;2;0;0;0
;14000902;02;339.97655732;1;371;4.9358974359;411411111111;2014;2015;43;1;1;2;;0;0
;14000903;01;447.35705765;0;407.42857143;5;444444411111;2014;2015;32;1;0;7;;0;0
;14000903;02;447.35705765;0;825.16666667;0;444444444444;2014;2015;32;3;1;12;;1;0
;14000912;01;262.60671944;1;3803;7;111111144444;2014;2015;40;2;0;5;;1;0
;14000921;01;706.61082746;1;327;5.2615384615;471111111111;2014;2015;33;1;1;1;;0;0
;14000933;01;844.08757931;0;3320;9;111111133411;2014;2015;22;1;0;1;;0;1
;14000958;01;1616.5730539;0;870.66666667;9;444111111111;2014;2015;43;1;0;3;;1;0
;14000958;02;1616.5730539;0;621.2;6;344444111111;2014;2015;30;1;0;5;;0;0
;14000968;01;1456.6908013;0;3616;2.9749450549;111111141411;2014;2015;49;1;0;2;;1;0
;14000977;01;486.76543905;1;1205.6666667;0;444444444444;2014;2015;42;4;0;12;;1;0
;14000999;01;446.52390337;1;1281.5;8;111144441111;2014;2015;32;1;0;4;;0;0
;14001005;01;893.64408382;1;1095;3;777444444111;2014;2015;26;3;0;6;;0;1
;14001015;01;280.65306774;1;1227;10;441111111111;2014;2015;46;1;1;2;;1;0
;14001019;02;497.96392402;1;737.5;0;444444444444;2014;2015;51;3;1;12;;1;0
1;14001028;01;781.7420543;0;1181.4545455;0.6034188034;444444444441;2014;2015;38;2;0;11;0;1;0
;14001041;01;608.67864833;1;494.85714286;5;444444411111;2014;2015;27;1;0;7;;1;1
;14001048;01;320.32569442;1;1110;8;444411111111;2014;2015;23;1;0;4;;1;1
1;14001080;01;255.29874357;0;209;9.5974358974;444444444444;2014;2015;40;1;0;12;0;0;0
2;14001082;01;569.56960249;0;473.08333333;0;444444444444;2014;2015;56;24;1;12;1;0;0
;14001104;01;696.11883433;0;1396;11;411111111111;2014;2015;29;1;0;1;;1;1
;14001106;01;584.40392859;0;818.66666667;9;111111441114;2014;2015;22;1;1;3;;1;1
;14001106;02;584.40392859;0;1364;9;111111111444;2014;2015;26;1;0;3;;0;1
;14001120;01;709.15327519;1;1234;11;411111111111;2014;2015;42;1;0;1;;1;0
;14001126;01;529.39887324;0;591;6.7264957265;411111111111;2014;2015;65;1;0;1;;0;0
;14001137;01;554.37187637;0;391;2.8538461538;999941111111;2014;2015;60;1;1;1;;0;0
1;14001143;01;690.35624989;0;5798.8181818;1;144444444444;2014;2015;43;2;0;11;0;1;0
;14001163;05;579.61438985;0;702;11;411111111111;2014;2015;25;1;0;1;;1;1
;14001171;01;2750.105136;1;2330.8333333;0;444444444444;2014;2015;55;2;0;12;;1;0
1;14001177;01;584.98807762;0;931.11111111;1;444444441488;2014;2015;52;2;0;9;0;1;0
;14001217;01;1707.1917874;0;1088;11;111111111411;2014;2015;24;1;0;1;;1;1
;14001229;03;475.70983667;0;902.6;4.1123321123;444441111111;2014;2015;59;1;1;5;;0;0
;14001231;02;745.68585535;1;468.75;0;444444444444;2014;2015;41;9;0;12;;1;0
;14001247;02;2509.0472948;1;760.66666667;9;411111111144;2014;2015;52;1;1;3;;0;0
;14001248;01;804.51131136;0;242.66666667;9;444111111111;2014;2015;29;1;0;3;;0;1
;14001260;01;561.68148796;1;218.75;0;444444444444;2014;2015;36;9;0;12;;0;0
2;14001263;01;633.10849913;0;505.5;0;444444444444;2014;2015;57;2;0;12;1;1;0
;14001287;01;666.89295662;0;1573.8888889;3;144444444141;2014;2015;60;2;0;9;;1;0
;14001287;02;666.89295662;0;1573.8888889;3;144444444141;2014;2015;61;2;0;9;;0;0
;14001291;02;304.97546664;1;958.5;7.4991452991;449711111111;2014;2015;40;2;0;2;;0;0
;14001297;01;781.94603748;0;712;7;444441111111;2014;2015;52;4;0;5;;1;0
;14001310;01;587.00110248;1;3433.3333333;1.8205128205;444444444444;2014;2015;56;4;0;12;;0;0
;14001314;01;334.3294345;0;505.5;0;444444444444;2014;2015;58;5;1;12;;0;0
2;14001320;01;486.50013093;0;749.54545455;0.4666666667;144444444444;2014;2015;51;5;0;11;1;1;0
;14001332;01;593.2003862;1;73;0;444766666666;2014;2015;31;5;0;3;;0;0
;14001333;03;422.28160463;1;714.42857143;5;111441414444;2014;2015;52;1;0;7;;1;0
;14001341;02;527.17011025;1;919.6;6.1974358974;444441111111;2014;2015;23;1;0;5;;1;1
