ident;noi;wpela17;chom_mens;cal0;couple;age;age2;duree_ss_emploi;pas_diplome;nbmois_cho;nbmois_sal;ass;sexe;moins_30;entre_30_50;entre_50_65;AG;chemin_ass;nbmoischo_ant
15000550;02;414.90148475;679.33333333;444888888888;1;55;3025;3;1;3;12;;1;0;0;1;55;Z:/Ines-dev\pgm\2imputations\imputation ASS;1
15000559;02;408.66217334;71.714285714;114444444777;0;54;2916;0;1;7;2;;0;0;0;1;54;Z:/Ines-dev\pgm\2imputations\imputation ASS;5
15000576;02;358.69372435;795.71428571;411114144444;1;25;625;0;0;7;5;;0;1;0;0;25;Z:/Ines-dev\pgm\2imputations\imputation ASS;6
15000580;02;377.9755685;1354.6666667;111444444444;1;44;1936;0;1;9;3;;1;0;1;0;44;Z:/Ines-dev\pgm\2imputations\imputation ASS;30
15000593;01;1054.8848784;2385.3333333;444111111111;1;36;1296;0;0;3;9;;1;0;1;0;36;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000598;01;755.21665608;643.77777778;444444411744;1;25;625;2;0;9;2;0;0;1;0;0;25;Z:/Ines-dev\pgm\2imputations\imputation ASS;6
15000615;02;497.20452211;5055;411121222222;1;25;625;0;0;1;2.4681393373;;0;1;0;0;25;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000628;01;484.05074304;299.33333333;844499999111;1;51;2601;2;1;3;3;;1;0;0;1;51;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000659;01;645.34815904;3078;411111111111;0;39;1521;0;0;1;11;;0;0;1;0;39;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000670;01;531.62163612;692.2;114444444444;1;27;729;2;0;10;2;;1;1;0;0;27;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
15000677;01;361.84750591;611.5;444411111111;1;26;676;0;0;4;8;;0;1;0;0;26;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000685;01;1727.5785373;1904.5;111111111144;1;25;625;0;0;2;9.5760407816;;1;1;0;0;25;Z:/Ines-dev\pgm\2imputations\imputation ASS;4
15000687;02;465.72409617;412.5;441111111111;1;42;1764;0;0;2;10;;0;0;1;0;42;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000695;03;284.04475799;565.4;111111144444;0;28;784;0;0;5;3.2334021119;;1;1;0;0;28;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000701;01;2285.9442976;2191;411111111111;1;29;841;0;0;1;8.3364485981;;0;1;0;0;29;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000707;01;674.10621167;602.22222222;444444444111;0;34;1156;1;0;9;3;;1;0;1;0;34;Z:/Ines-dev\pgm\2imputations\imputation ASS;6
15000708;01;484.77322603;969.66666667;111111444444;1;32;1024;2;0;6;6;;0;0;1;0;32;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000711;01;244.15570986;266.66666667;444444444444;1;35;1225;3;0;12;12;;1;0;1;0;35;Z:/Ines-dev\pgm\2imputations\imputation ASS;24
15000711;02;244.15570986;1587.3333333;881111111444;1;36;1296;1;1;3;7;;0;0;1;0;36;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000712;01;587.84907046;616;444444444444;1;42;1764;1;0;12;12;;0;0;1;0;42;Z:/Ines-dev\pgm\2imputations\imputation ASS;6
15000712;02;587.84907046;970.57142857;444444411111;1;39;1521;1;0;7;5;;1;0;1;0;39;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000723;01;532.88850058;988;411111111111;1;43;1849;0;0;1;11;;0;0;1;0;43;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000737;01;649.61959284;233;444444444444;0;48;2304;3;1;12;0;;1;0;1;0;48;Z:/Ines-dev\pgm\2imputations\imputation ASS;99
15000748;01;1214.8982871;867;111111444444;0;29;841;2;0;6;6;;1;1;0;0;29;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000784;02;238.75882831;421.4;114444444444;1;38;1444;0;0;10;2;0;1;0;1;0;38;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
15000799;01;508.2151144;160.66666667;111111111444;1;38;1444;2;1;3;4.4931180969;;1;0;1;0;38;Z:/Ines-dev\pgm\2imputations\imputation ASS;2
15000806;01;638.68610183;710;411111111111;1;30;900;0;0;1;11;;1;0;1;0;30;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
15000815;01;1246.5367882;391.14285714;111114444444;0;30;900;2;0;7;2.6525063721;;1;0;1;0;30;Z:/Ines-dev\pgm\2imputations\imputation ASS;9
15000830;02;551.6722513;2222.7;114444444444;1;35;1225;2;0;10;2;;1;0;1;0;35;Z:/Ines-dev\pgm\2imputations\imputation ASS;24
15000835;02;260.74090423;262;444444441114;1;36;1296;1;0;9;3;;0;0;1;0;36;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000843;02;1294.5730398;638;411111111111;1;31;961;1;0;1;11;;0;0;1;0;31;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000846;02;915.24877231;178;111111111144;1;46;2116;1;0;2;10;;1;0;1;0;46;Z:/Ines-dev\pgm\2imputations\imputation ASS;2
15000852;01;539.29395479;584.16666667;444444444444;0;56;3136;4;1;12;12;1;1;0;0;1;56;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000855;01;841.56077889;966.75;444444444444;1;56;3136;2;0;12;12;;1;0;0;1;56;Z:/Ines-dev\pgm\2imputations\imputation ASS;3
15000884;01;207.65740213;267.3;114444444444;1;31;961;0;0;10;2;;1;0;1;0;31;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000884;02;207.65740213;1235.7142857;444444411111;1;29;841;0;0;7;4.8547153781;;0;1;0;0;29;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000907;01;782.92008601;732.58333333;444444444444;0;33;1089;2;0;12;12;;1;0;1;0;33;Z:/Ines-dev\pgm\2imputations\imputation ASS;24
15000908;02;1444.1225479;1067.8;444444444411;1;33;1089;1;0;10;2;0;0;0;1;0;33;Z:/Ines-dev\pgm\2imputations\imputation ASS;10
15000908;03;1444.1225479;1048.5;111441111111;1;30;900;0;0;2;10;;1;0;1;0;30;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000910;02;481.48871507;246.33333333;111444444444;1;46;2116;3;1;9;1.585046729;;0;0;1;0;46;Z:/Ines-dev\pgm\2imputations\imputation ASS;24
15000916;01;637.54264381;479.66666667;444444444444;0;57;3249;6;1;12;0;1;1;0;0;1;57;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000924;01;226.2561788;9.4166666667;444444444444;1;39;1521;0;0;12;12;;1;0;1;0;39;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000959;01;523.03251642;1680;144477777711;0;32;1024;6;0;3;3;;0;0;1;0;32;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000961;02;621.53905767;58;444444444444;1;62;3844;6;0;12;0;;0;0;0;1;62;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000964;01;725.82653936;4474.5;111111111144;1;43;1849;2;0;2;10;;0;0;1;0;43;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000973;02;447.3340207;1948;111111114444;1;50;2500;0;1;4;8;;1;0;0;1;50;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000978;01;454.87294473;1244;111114111111;0;43;1849;1;0;1;11;;0;0;1;0;43;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000988;01;360.82114741;1237.3333333;444111111111;0;42;1764;0;0;3;9;;0;0;1;0;42;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000989;01;464.31049285;1145;333444444444;1;32;1024;3;0;9;0;;1;0;1;0;32;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000990;01;424.95570325;744.58333333;444444444444;1;53;2809;2;0;12;0;0;1;0;0;1;53;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000994;02;514.00155077;1438;411111111111;1;33;1089;0;1;1;11;;1;0;1;0;33;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000997;02;171.58865184;1388;411111144414;1;58;3364;1;1;5;7;;1;0;0;1;58;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001016;01;1009.1429744;871.44444444;111444444444;1;45;2025;0;0;9;3;;0;0;1;0;45;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
15001016;02;1009.1429744;125;441111111111;1;47;2209;1;0;2;10;0;1;0;1;0;47;Z:/Ines-dev\pgm\2imputations\imputation ASS;2
15001031;01;604.48652365;625;444444444444;0;58;3364;2;0;12;0;0;0;0;0;1;58;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
15001036;01;3400.4827629;1144.6666667;444111111111;1;55;3025;0;0;3;9;;0;0;0;1;55;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001043;01;807.05030203;223;411111111111;1;28;784;0;0;1;11;;1;1;0;0;28;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001044;01;414.7504489;1645.4545455;844444444444;1;53;2809;4;1;11;0;;1;0;0;1;53;Z:/Ines-dev\pgm\2imputations\imputation ASS;18
15001049;02;651.50853911;644.6;444441111111;1;46;2116;1;0;5;7;;0;0;1;0;46;Z:/Ines-dev\pgm\2imputations\imputation ASS;4
15001055;02;650.45341111;1300.5833333;444444444444;1;43;1849;2;1;12;0;;1;0;1;0;43;Z:/Ines-dev\pgm\2imputations\imputation ASS;24
15001056;01;424.42245726;1467;444444111111;0;54;2916;1;0;6;6;;0;0;0;1;54;Z:/Ines-dev\pgm\2imputations\imputation ASS;4
15001073;01;363.57435158;4420;111444111111;0;43;1849;2;0;3;9;;0;0;1;0;43;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001081;03;238.40941566;793.4;414441444444;0;26;676;1;0;10;2;;1;1;0;0;26;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001086;02;390.80109398;367.375;441111444444;1;29;841;3;0;8;4;;0;1;0;0;29;Z:/Ines-dev\pgm\2imputations\imputation ASS;24
15001090;02;557.25466138;10528;413333333333;1;32;1024;2;0;1;1;;0;0;1;0;32;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001103;02;595.71478314;1242.8;444444444411;1;55;3025;1;1;10;2;;0;0;0;1;55;Z:/Ines-dev\pgm\2imputations\imputation ASS;9
15001118;01;591.61607841;1223.75;444444444444;0;62;3844;3;0;12;0;0;0;0;0;1;62;Z:/Ines-dev\pgm\2imputations\imputation ASS;20
15001131;04;636.54485379;493.33333333;444444444444;0;33;1089;4;0;12;0;;0;0;1;0;33;Z:/Ines-dev\pgm\2imputations\imputation ASS;36
15001139;02;567.81017268;587.66666667;111111444444;1;37;1369;2;1;6;6;;1;0;1;0;37;Z:/Ines-dev\pgm\2imputations\imputation ASS;4
15001145;03;349.61545488;598;411111444444;0;26;676;0;0;7;5;;1;1;0;0;26;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001150;02;877.0358245;1462;111111114444;1;38;1444;0;1;4;8;;1;0;1;0;38;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
15001152;02;330.4171175;530.5;444444441111;1;60;3600;0;1;8;3.5981308411;;0;0;0;1;60;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001156;01;309.16530782;2269.6;888888844444;1;52;2704;2;1;5;12;;1;0;0;1;52;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001220;03;651.96958128;1220.5;441111411114;0;28;784;1;0;4;8;;1;1;0;0;28;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001228;02;535.0026235;492;411111111111;1;41;1681;0;0;1;11;0;0;0;1;0;41;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001276;01;2536.5810156;540.8;666444446666;1;31;961;4;0;5;0;;0;0;1;0;31;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001286;01;392.98066181;1056.0909091;144444444444;1;46;2116;2;0;11;1;0;1;0;1;0;46;Z:/Ines-dev\pgm\2imputations\imputation ASS;2
15001293;02;779.60336552;2834;111111111114;1;31;961;3;0;1;11;;0;0;1;0;31;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001311;02;212.01746909;902;411111111111;1;37;1369;0;0;1;11;;0;0;1;0;37;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001312;01;1225.6153211;1634;111111111141;1;45;2025;0;1;1;11;;1;0;1;0;45;Z:/Ines-dev\pgm\2imputations\imputation ASS;2
15001313;02;685.67102106;1709.8571429;441111444441;1;57;3249;2;0;7;5;;1;0;0;1;57;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
15001327;01;548.28704774;887.18181818;414444444444;1;42;1764;3;0;11;1;;1;0;1;0;42;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001330;02;1145.332353;792;499944444444;1;57;3249;8;0;9;12;;0;0;0;1;57;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
15001341;01;402.82330969;1017.5;441111111111;0;37;1369;0;0;2;4.4816118461;0;1;0;1;0;37;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001355;02;495.0987622;1896.6666667;111111444111;1;57;3249;2;0;3;9;;1;0;0;1;57;Z:/Ines-dev\pgm\2imputations\imputation ASS;5
15001359;01;527.19981445;640.6;111441144466;1;28;784;2;0;5;2.0390824129;;0;1;0;0;28;Z:/Ines-dev\pgm\2imputations\imputation ASS;3
15001363;02;425.86250928;543.25;444444444444;1;58;3364;3;1;12;0;;0;0;0;1;58;Z:/Ines-dev\pgm\2imputations\imputation ASS;30
15001366;01;232.3465134;1268.75;444444444444;0;55;3025;4;0;12;0;;1;0;0;1;55;Z:/Ines-dev\pgm\2imputations\imputation ASS;24
15001372;01;705.70420794;1372.5;144444444441;1;34;1156;2;0;10;2;;0;0;1;0;34;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
15001372;02;705.70420794;1508.6666667;344411111111;1;35;1225;1;0;3;8;;1;0;1;0;35;Z:/Ines-dev\pgm\2imputations\imputation ASS;3
15001375;01;421.33119944;75.75;944444444999;0;49;2401;3;0;8;12;;1;0;1;0;49;Z:/Ines-dev\pgm\2imputations\imputation ASS;6
15001377;01;1189.940033;1435.9;444443344444;1;36;1296;2;0;10;0;;0;0;1;0;36;Z:/Ines-dev\pgm\2imputations\imputation ASS;3
15001386;01;632.95058556;6653;411111113333;0;48;2304;2;0;1;7;0;1;0;1;0;48;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001421;01;1003.0739802;513;111444444444;0;42;1764;2;0;9;1.5705789538;;0;0;1;0;42;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
15001425;01;677.43297427;1155;119111144111;0;43;1849;1;0;2;9;;1;0;1;0;43;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001449;02;331.86871723;760;144444411111;0;38;1444;1;0;6;6;;1;0;1;0;38;Z:/Ines-dev\pgm\2imputations\imputation ASS;5
15001459;03;1276.879624;482.5;111144444444;0;29;841;2;0;8;3.8997451147;;1;1;0;0;29;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001470;01;1918.9649951;1666;444499999999;0;27;729;3;0;4;12;;1;1;0;0;27;Z:/Ines-dev\pgm\2imputations\imputation ASS;2
15001476;02;488.29216341;1253.4285714;444444111114;1;50;2500;0;1;7;5;;1;0;0;1;50;Z:/Ines-dev\pgm\2imputations\imputation ASS;6
15001486;02;581.94999417;1904;444888777777;1;58;3364;7;0;3;0;;0;0;0;1;58;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001491;02;779.56989565;2265.9166667;444444444444;1;57;3249;4;0;12;0;;0;0;0;1;57;Z:/Ines-dev\pgm\2imputations\imputation ASS;24
15001496;01;394.71665941;1946;111111411114;1;49;2401;1;0;2;10;;1;0;1;0;49;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001513;01;924.50701962;591;111144444111;1;38;1444;1;0;5;7;;0;0;1;0;38;Z:/Ines-dev\pgm\2imputations\imputation ASS;1
15001530;02;511.77737758;519.58333333;444444444444;1;59;3481;14;1;12;0;;0;0;0;1;59;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
15001536;01;567.03287708;606.8;444443444441;0;28;784;3;0;10;1;;0;1;0;0;28;Z:/Ines-dev\pgm\2imputations\imputation ASS;3
15001539;01;411.9784203;833.875;444444449999;0;54;2916;7;1;8;0;;0;0;0;1;54;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
15001542;01;496.20320317;1628;444111441131;1;52;2704;1;0;5;6;;1;0;0;1;52;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001542;02;496.20320317;1132.1666667;444444111111;1;48;2304;1;0;6;6;;0;0;1;0;48;Z:/Ines-dev\pgm\2imputations\imputation ASS;4
15001545;02;402.63323493;1426.2;111111144444;1;38;1444;2;1;5;7;;1;0;1;0;38;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001553;01;685.99938231;301.18181818;944444444444;1;35;1225;4;0;11;0;;1;0;1;0;35;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15001553;02;685.99938231;670;144499941111;1;27;729;1;0;4;5;;0;1;0;0;27;Z:/Ines-dev\pgm\2imputations\imputation ASS;6
15001567;01;176.25100531;7410;111143333333;1;32;1024;0;0;1;3.9499939313;;0;0;1;0;32;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
