ident;noi;wpela15;couple;chom_mens;nbmois_sal;cal0;anref;anleg;age;duree_ss_emploi;pas_diplome;nbmois_cho;ass;sexe;moins_30
13002119;01;601.29732446;0;464.7875;0.4237061215;444444444444;2013;2015;51;3;1;12;;1;0
13002140;01;906.4477833;0;781.88888889;3;441114444444;2013;2015;56;2;1;9;;0;0
13002151;01;454.88865997;0;1256;7;411114111444;2013;2015;44;1;0;5;;0;0
13002159;01;448.89523131;0;528.25;0;444432223333;2013;2015;19;0;0;4;;1;1
13002202;01;1228.843875;0;1691.4166667;4.1595539977;444444444444;2013;2015;60;1;1;12;;1;0
13002202;02;1228.843875;0;506.70416667;0;444444444444;2013;2015;50;3;0;12;;0;0
13002205;01;589.00659244;0;635.25;4;144444444111;2013;2015;35;1;0;8;;0;0
13002206;01;1051.711326;0;1310.25;5.9518653393;111111114444;2013;2015;28;0;0;4;;0;1
13002206;02;1051.711326;0;1428.6;1.7292721382;144444444441;2013;2015;32;1;0;10;;1;0
13002209;01;587.13596417;0;491.5375;0.1532920521;444444444444;2013;2015;36;2;0;12;;0;0
13002318;01;563.32124218;0;374.95416667;1.3357077123;444444444444;2013;2015;58;2;1;12;;1;0
13002335;01;1075.7361986;0;507.85909091;0;944444444444;2013;2015;53;3;0;11;1;0;0
13002373;03;622.38676804;0;520.14285714;1.9316520946;944444441111;2013;2015;26;1;0;7;0;0;1
13002399;01;627.97229365;0;4128.6666667;0.456431391;333444333777;2013;2015;36;2;0;3;;1;0
13002404;01;587.44287804;0;510.93888889;0;477744444444;2013;2015;58;6;1;9;1;0;0
13002444;01;467.62457505;0;506.70416667;0;444444444444;2013;2015;44;3;0;12;;1;0
13002451;01;899.98213356;0;1344;2;114444444444;2013;2015;59;1;0;10;0;1;0
13002451;02;899.98213356;0;1344;2;114444444444;2013;2015;60;1;0;10;0;0;0
13002457;01;428.14669062;0;506.70416667;0;444444444444;2013;2015;47;3;0;12;;0;0
