"proba_ass";"ident";"noi";"wpela16"
0.771;"14003452";"1";2994.991522
0.025;"14003463";"2";1104.4526843
0.063;"14003473";"2";973.38506335
0.411;"14003476";"2";539.66074483
0.166;"14003478";"2";642.12655998
0.015;"14003480";"1";712.63150336
0.121;"14003487";"1";545.36304144
0.028;"14003491";"1";343.69579617
0.022;"14003498";"1";353.34019185
0.012;"14003508";"2";597.66455765
0.025;"14003531";"3";535.5704556
0.031;"14003532";"2";830.42105847
0.693;"14003550";"1";775.37655907
0.052;"14003558";"1";455.7170579
0.142;"14003568";"1";849.42468992
0.086;"14003574";"1";535.24071658
0.019;"14003585";"1";540.09149252
0.01;"14003605";"1";481.99034491
0.071;"14003615";"1";248.59267154
0.73;"14003631";"1";932.58030682
0.01;"14003638";"1";329.78348644
0.297;"14003641";"2";400.75674405
0.898;"14003677";"1";797.66575792
0.115;"14003685";"2";645.9862
0.033;"14003706";"1";485.81214157
0.178;"14003714";"1";296.55686131
0.849;"14003720";"2";567.23377321
0.084;"14003722";"2";1277.0381157
0.138;"14003737";"2";450.80431629
0.039;"14003758";"2";1742.5774554
0.06;"14003768";"1";727.60566851
0.051;"14003768";"2";727.60566851
0.016;"14003782";"2";289.72904404
0.232;"14003789";"1";327.41190614
0.093;"14003813";"2";810.30762314
0.1;"14003826";"2";272.73058388
0.214;"14003842";"1";915.39091159
0.032;"14003844";"1";320.48077792
0.051;"14003844";"2";320.48077792
0.181;"14003847";"1";540.56691471
0.226;"14003875";"1";902.89341764
0.048;"14003899";"1";1050.7258665
0.102;"14003908";"3";460.8947396
0.087;"14003909";"3";448.92019768
0.06;"14003911";"2";822.13433155
0.508;"14003915";"1";462.32364453
0.196;"14003915";"2";462.32364453
0.067;"14003924";"1";425.33781942
0.338;"14003947";"1";254.11988367
0.05;"14004005";"1";315.22665752
0.254;"14004005";"2";315.22665752
0.199;"14004033";"2";465.16723011
0.029;"14004037";"1";295.05115694
0.082;"14004049";"1";502.63477704
0.303;"14004052";"2";433.87899141
0.107;"14004054";"1";346.85802258
0.418;"14004068";"1";435.52780444
0.192;"14004090";"1";482.81039443
0.255;"14004112";"2";317.33638015
0.015;"14004127";"2";456.74135116
0.258;"14004130";"1";936.29558668
0.38;"14004145";"2";647.63016684
0.093;"14004148";"3";751.8336855
0.569;"14004149";"1";615.26184107
0.035;"14004179";"1";636.28878154
0.12;"14004202";"1";535.02535379
0.191;"14004203";"2";567.61886137
0.062;"14004247";"1";695.77396745
0.101;"14004260";"2";464.77558605
0.267;"14004265";"1";528.47445923
0.374;"14004278";"1";1193.2782606
0.114;"14004292";"1";526.53652342
0.297;"14004305";"1";406.89696349
0.031;"14004327";"2";711.63289884
0.212;"14004344";"2";465.5898008
0.084;"14004355";"1";1305.7186249
0.479;"14004360";"1";629.8047707
0.092;"14004373";"1";974.31069819
0.359;"14004405";"2";377.61641416
0.324;"14004425";"1";383.6438069
0.057;"14004427";"1";655.13206872
0.044;"14004427";"3";655.13206872
0.007;"14004450";"1";425.31357518
0.082;"14004539";"1";537.8917618
0.111;"14004547";"2";1153.4008405
0.438;"14004553";"1";554.19322204
0.412;"14004557";"1";369.83969621
0.029;"14004559";"1";927.81429957
0.137;"14004560";"1";263.86696059
0.039;"14004564";"2";397.28649838
0.786;"14004573";"1";331.39016573
0.039;"14004581";"1";1331.1748614
0.014;"14004630";"1";342.13727417
0.232;"14004645";"1";795.96488934
0.11;"14004672";"2";775.77242813
0.159;"14004677";"2";561.5834165
0.1;"14004688";"1";479.12612539
0.357;"14004693";"1";1233.6501883
0.117;"14004701";"2";463.94739747
0.367;"14004709";"1";727.99922206
0.227;"14004728";"1";569.4047239
0.083;"14004743";"1";585.57621977
0.993;"14004745";"1";852.37025293
0.129;"14004761";"2";574.09686973
0.096;"14004762";"1";421.05889626
0.041;"14004769";"1";434.10001768
0.154;"14004774";"2";339.99425525
0.056;"14004790";"1";879.65554576
0.039;"14004795";"1";804.82164333
0.255;"14004812";"1";599.49159946
0.013;"14004818";"1";493.48428977
0.022;"14004826";"1";634.57885145
0.042;"14004826";"2";634.57885145
0.037;"14004828";"1";437.206032
0.052;"14004874";"1";200.86017524
0.015;"14004881";"1";413.14441934
0.703;"14004885";"1";402.20660801
0.066;"14004914";"1";625.92360077
0.07;"14004917";"1";693.99559278
0.114;"14004924";"4";722.33731766
0.093;"14004929";"1";569.44978959
0.631;"14004932";"1";1262.5841961
0.195;"14004950";"2";519.95988494
0.024;"14004952";"1";580.66882954
0.015;"14004957";"1";893.64952401
0.031;"14004960";"1";405.29236108
0.025;"14004981";"1";553.13714443
0.07;"14004988";"1";438.59095211
0.372;"14004989";"1";230.98291255
0.469;"14004993";"1";664.29028843
0.372;"14005007";"1";488.28176765
0.103;"14005014";"2";358.95771039
0.089;"14005021";"3";298.45272645
0.072;"14005025";"2";239.01242716
0.028;"14005031";"1";834.63855593
0.09;"14005040";"1";407.44961169
0.078;"14005052";"3";381.97804429
0.362;"14005064";"1";684.84236565
0.032;"14005101";"1";120.05539181
0.965;"14005146";"1";832.06155604
0.522;"14005153";"1";1416.0956283
0.034;"14005162";"1";951.51587102
0.039;"14005179";"1";522.97093657
0.118;"14005180";"2";564.61391944
0.067;"14005187";"1";338.18483605
0.075;"14005188";"1";633.56568041
0.055;"14005199";"1";692.43770872
0.101;"14005237";"2";480.59613471
0.047;"14005255";"2";968.66435139
0.174;"14005260";"1";311.16437555
0.433;"14005272";"1";503.71198305
0.041;"14005284";"2";325.72020874
0.244;"14005289";"2";656.86578856
0.163;"14005292";"1";549.91087677
0.899;"14005292";"2";549.91087677
0.953;"14005307";"1";1000.0608614
0.733;"14005344";"2";540.61347182
0.009;"14005345";"1";634.6103857
0.005;"14005345";"2";634.6103857
0.004;"14005355";"2";604.29159843
0.03;"14005360";"1";570.04503129
0.106;"14005379";"2";797.61703513
0.025;"14005393";"2";621.69884303
0.053;"14005400";"1";842.5405425
0.024;"14005413";"1";331.27945182
0.117;"14005420";"2";384.32449596
0.031;"14005423";"2";407.13887089
0.008;"14005433";"1";398.07215331
0.014;"14005443";"2";539.35034879
0.107;"14005445";"1";510.82902599
0.879;"14005449";"1";276.45890409
0.098;"14005454";"2";813.0001457
0.124;"14005471";"1";700.95976935
0.013;"14005471";"2";700.95976935
0.017;"14005475";"1";697.72165109
0.265;"14005493";"2";653.83388009
0.028;"14005494";"1";667.49359106
0.031;"14005560";"1";698.82796828
0.008;"14005566";"1";660.78483279
0.102;"14005568";"1";412.41811872
0.324;"14005570";"2";368.48499225
0.084;"14005574";"2";778.22406758
0.035;"14005585";"2";660.18637508
0.028;"14005589";"1";1062.7357915
0.014;"14005598";"2";262.11986217
0.009;"14005614";"5";392.8749957
0.269;"14005614";"6";392.8749957
0.005;"14005636";"1";927.87182947
0.51;"14005649";"2";535.37507978
0.503;"14005651";"1";567.22370883
0.042;"14005680";"1";557.34832008
0.503;"14005682";"1";485.36382258
0.02;"14005708";"1";779.65154515
0.108;"14005713";"2";620.06517972
0.05;"14005765";"1";581.2227709
0.737;"14005776";"1";595.93236493
0.124;"14005800";"1";676.54666985
0.084;"14005803";"2";471.10462739
0.052;"14005805";"1";560.68387099
0.022;"14005805";"2";560.68387099
0.334;"14005809";"1";1411.3842109
0.24;"14005810";"1";477.41067297
0.168;"14005811";"1";495.88948278
0.007;"14005814";"1";749.51903109
0.094;"14005837";"2";450.31900797
0.118;"14005843";"1";348.33390898
0.718;"14005844";"2";541.36094768
0.18;"14005847";"3";521.68676654
0.183;"14005863";"1";818.27725747
0.475;"14005885";"3";155.62509881
0.269;"14005906";"3";420.09548181
0.045;"14005925";"1";470.23730713
0.056;"14005926";"2";524.59612909
0.281;"14005926";"3";524.59612909
0.032;"14005932";"1";1198.1337601
0.158;"14005936";"1";858.16234732
0.05;"14005947";"1";267.42732096
0.022;"14005948";"1";585.08488381
0.234;"14005965";"1";397.60080514
0.448;"14005972";"1";575.63408175
0.015;"14006009";"1";2899.0087689
0.279;"14006014";"1";756.54083615
0.084;"14006047";"1";342.34208117
0.387;"14006049";"1";672.88529796
0.141;"14006051";"1";1015.084435
0.017;"14006058";"2";498.62111578
0.07;"14006062";"1";687.92306441
0.027;"14006068";"2";687.01272009
0.044;"14006075";"2";638.67535416
0.067;"14006132";"2";625.67213979
0.374;"14006151";"1";492.74490891
0.39;"14006163";"1";521.82160255
0.302;"14006163";"2";521.82160255
0.037;"14006163";"3";521.82160255
0.108;"14006163";"4";521.82160255
0.761;"14006169";"1";493.97834506
0.342;"14006173";"1";595.12192653
0.172;"14006196";"1";473.06467095
0.502;"14006213";"1";541.84494024
0.049;"14006218";"1";420.94192027
0.174;"14006219";"1";691.87681059
0.137;"14006223";"2";555.08431475
0.075;"14006230";"2";410.77171462
0.168;"14006242";"1";526.79896933
0.016;"14006285";"1";642.31311963
0.251;"14006315";"1";1232.9250502
0.018;"14006326";"2";474.63854296
0.071;"14006332";"1";476.81017919
0.022;"14006332";"3";476.81017919
0.064;"14006348";"1";514.84728553
0.18;"14006363";"2";788.43349136
0.091;"14006366";"1";317.28155244
0.043;"14006366";"2";317.28155244
0.135;"14006369";"2";613.62700026
0.164;"14006375";"2";850.21846258
0.027;"14006382";"1";507.59388425
0.004;"14006398";"1";470.6176397
0.96;"14006400";"2";454.41711698
0.001;"14006401";"1";879.1962577
0.489;"14006417";"1";676.69850472
0.06;"14006428";"2";673.06443721
0.092;"14006454";"2";625.85841991
0.081;"14006486";"1";1571.18235
0.087;"14006508";"1";456.05322405
0.255;"14006525";"1";754.99162635
0.037;"14006531";"1";339.7733544
0.137;"14006562";"1";252.38932179
0.105;"14006591";"1";1927.7266361
0.048;"14006597";"1";226.13436574
0.225;"14006618";"1";475.27921253
0.031;"14006622";"1";234.41929505
0.017;"14006631";"2";1147.6043842
0.234;"14006636";"1";742.54774307
0.119;"14006644";"2";309.6356641
0.123;"14006652";"1";628.38278448
0.01;"14006654";"1";252.37896063
0.314;"14006657";"2";762.39243178
0.059;"14006675";"1";659.52852692
0.87;"14006677";"1";866.57249223
0.147;"14006707";"1";735.55640633
0.059;"14006708";"2";402.97558092
0.242;"14006724";"1";229.29154643
0.166;"14006724";"5";229.29154643
0.211;"14006728";"1";614.6583165
0.133;"14006730";"1";420.51745681
0.018;"14006736";"1";543.08774837
0.038;"14006736";"2";543.08774837
0.453;"14006757";"1";812.60456914
0.113;"14006775";"2";645.40965275
0.041;"14006777";"1";923.10797871
0.053;"14006805";"2";388.45237235
0.104;"14006814";"1";541.81068176
0.012;"14006830";"2";366.78494006
0.148;"14006836";"1";421.58059339
0.838;"14006853";"1";470.54990946
0;"14006871";"1";795.95128168
0.185;"14006881";"1";538.80885164
0.007;"14006886";"1";473.31923989
0.617;"14006896";"1";253.31377016
0.073;"14006902";"2";1040.4893404
0.709;"14006916";"1";537.05274229
0.918;"14006922";"1";543.09003725
0.043;"14006923";"1";937.45748748
0.007;"14006951";"1";641.63968362
0.044;"14006968";"2";439.0051103
0.088;"14006979";"1";443.00560187
0.569;"14006993";"3";357.58620019
0.003;"14007006";"2";388.88524449
0.037;"14007017";"2";524.25478247
0.678;"14007019";"1";171.11846377
0.284;"14007022";"2";554.54569458
0.043;"14007033";"2";747.27064124
0.109;"14007037";"1";833.09293719
0.031;"14007040";"1";476.56336528
0.046;"14007043";"1";978.40865221
0.008;"14007050";"1";702.19708454
0.098;"14007063";"1";279.0194675
0.008;"14007083";"2";556.03625196
0.025;"14007091";"2";326.61286788
0.292;"14007112";"1";491.10831498
0.99;"14007121";"1";664.6133841
0.035;"14007156";"1";442.86229595
0.568;"14007163";"2";1109.8397192
0.067;"14007176";"1";537.90178782
0.065;"14007182";"1";543.87117651
0.134;"14007194";"1";585.75352716
0.069;"14007210";"1";370.29419608
0.018;"14007210";"3";370.29419608
0.028;"14007213";"1";915.05839496
0.184;"14007215";"1";676.85836983
0.474;"14007218";"5";429.54683798
0.023;"14007243";"6";674.59889221
0.008;"14007288";"2";451.20265742
0.144;"14007293";"1";659.54245636
0.018;"14007296";"1";880.93003806
0.368;"14007298";"1";616.47078196
0.253;"14007300";"1";465.88353569
0.06;"14007301";"1";552.64129258
0.042;"14007301";"2";552.64129258
0.07;"14007302";"1";664.43260109
0.007;"14007332";"1";406.38629291
0.299;"14007334";"2";636.84443456
0.043;"14007341";"3";513.88377606
0.038;"14007357";"2";1486.7135233
0.004;"14007365";"2";861.28257813
0.32;"14007366";"1";460.137244
0.388;"14007385";"2";514.54713136
0.103;"14007410";"1";440.2719001
0.087;"14007432";"2";442.11946624
0.042;"14007446";"1";744.33445398
0.031;"14007455";"1";810.56636845
0.757;"14007460";"1";556.21054429
0.026;"14007474";"2";919.61717309
0.07;"14007501";"1";467.37439196
0.137;"14007507";"2";431.99423508
0.19;"14007521";"2";422.80489967
0.183;"14007524";"1";427.67112363
0.021;"14007531";"2";1576.141501
0.612;"14007543";"5";472.51697582
0.056;"14007547";"1";568.18638817
0.164;"14007567";"2";611.55046659
0.215;"14007591";"1";418.03839582
